name,类型,总票房（万）,平均票价,场均人次,国家及地区,上映日期
战狼2,动作,567928,36,38,中国,2017/7/27
哪吒之魔童降世,动画,501324,36,24,中国,2019/7/26
流浪地球,科幻,468433,45,29,中国,2019/2/5
复仇者联盟4：终局之战,动作,425024,49,23,美国,2019/4/24
红海行动,动作,365079,39,33,中国/中国香港,2018/2/16
唐人街探案2,喜剧,339769,39,39,中国,2018/2/16
美人鱼,喜剧,339211,37,44,中国/中国香港,2016/2/8
我和我的祖国,剧情,317152,39,36,中国/中国香港,2019/9/30
我不是药神,剧情,309996,35,27,中国,2018/7/5
中国机长,剧情,291229,38,27,中国,2019/9/30
速度与激情8,动作,267096,37,30,美国,2017/4/14
西虹市首富,喜剧,254757,35,28,中国,2018/7/27
捉妖记,奇幻,244002,37,42,中国香港/中国,2015/7/16
速度与激情7,动作,242659,39,42,美国/日本,2015/4/12
复仇者联盟3：无限战争,动作,239054,38,19,美国,2018/5/11
捉妖记2,喜剧,223708,38,44,中国香港/中国,2018/2/16
疯狂的外星人,喜剧,221365,42,30,中国,2019/2/5
羞羞的铁拳,喜剧,220175,33,25,中国,2017/9/30
海王,动作,201321,36,18,美国,2018/12/7
变形金刚4：绝迹重生,科幻,197752,42,50,美国/中国,2014/6/27
前任3：再见前任,喜剧,194174,35,29,中国,2017/12/29
毒液：致命守护者,动作,187068,36,17,美国,2018/11/9
功夫瑜伽,喜剧,175260,38,33,印度/中国,2017/1/28
飞驰人生,喜剧,172854,42,25,中国,2019/2/5
烈火英雄,灾难,170659,36,19,中国,2019/8/1
侏罗纪世界2,动作,169588,36,19,美国,2018/6/15
寻龙诀,动作,168274,36,40,中国香港/中国,2015/12/18
西游伏妖篇,奇幻,165593,39,36,中国香港/中国,2017/1/28
港囧,喜剧,161410,33,40,中国,2015/9/25
少年的你,剧情,155830,36,16,中国,2019/10/25
变形金刚5：最后的骑士,动作,155124,37,23,美国,2017/6/23
疯狂动物城,动画,153036,34,29,美国,2016/3/4
魔兽,动作,147230,37,25,美国,2016/6/8
复仇者联盟2：奥创纪元,科幻,146439,40,29,美国,2015/5/12
夏洛特烦恼,喜剧,144161,32,34,中国,2015/9/30
速度与激情：特别行动,动作,143464,36,15,美国,2019/8/23
芳华,战争,142258,34,25,中国,2017/12/15
侏罗纪世界,动作,142073,38,33,美国,2015/6/10
蜘蛛侠：英雄远征,动作,141774,36,17,美国,2019/6/28
头号玩家,科幻,139666,36,18,美国,2018/3/30
后来的我们,爱情,136153,34,21,中国,2018/4/28
一出好戏,喜剧,135505,35,26,中国,2018/8/10
阿凡达,科幻/动作,133986,50,72,美国,2010/1/4
扫毒2：天地对决,剧情,131254,36,17,中国香港/中国,2019/7/5
摔跤吧！爸爸 ,喜剧,129918,30,22,印度,2017/5/5
无双,动作,127377,36,15,中国/中国香港,2018/9/30
人再囧途之泰囧,喜剧,127195,32,45,中国,2012/12/12
西游降魔篇,奇幻,124699,40,41,中国/中国香港,2013/2/10
美国队长3：英雄内战,动作,124635,35,25,美国,2016/5/6
碟中谍6：全面瓦解,动作,124522,37,15,美国,2018/8/31
寻梦环游记,动画,121186,34,18,美国,2017/11/24
误杀,剧情,120880,34,12,中国,2019/12/13
西游记之孙悟空三打白骨精,动作,120101,37,36,中国,2016/2/8
湄公河行动,动作,118820,30,25,中国香港/中国,2016/9/30
叶问4：完结篇,动作,118581,36,12,中国/中国香港,2019/12/20
加勒比海盗5：死无对证,动作,117991,36,22,美国,2017/5/26
长城,奇幻,117457,35,21,美国/中国,2016/12/16
心花路放,喜剧,116934,34,36,中国,2014/9/30
煎饼侠,喜剧,116276,33,39,中国,2015/7/17
金刚：骷髅岛,动作,116050,35,20,美国,2017/3/24
大黄蜂,动作,114973,36,11,美国,2019/1/4
极限特工：终极回归,动作,112741,36,23,美国,2017/2/10
澳门风云3,喜剧,111821,36,36,中国/中国香港,2016/2/8
生化危机：终章 ,科幻,111182,35,20,美国/德国,2017/2/24
攀登者,剧情,109748,37,22,中国,2019/9/30
变形金刚3,科幻,107157,42,54,美国,2011/7/21
巨齿鲨,动作,105178,38,22,美国,2018/8/10
乘风破浪,剧情,104853,36,27,中国,2017/1/28
西游记之大闹天宫,魔幻,104550,42,40,中国/中国香港,2014/1/31
神偷奶爸3,动画,103781,34,20,美国,2017/7/7
惊奇队长,动作,103536,37,14,美国,2019/3/8
盗墓笔记,奇幻,100453,35,27,中国,2016/8/5
狂暴巨兽,动作,100395,35,13,美国,2018/4/13
功夫熊猫3,动画,100200,36,25,中国/美国,2016/1/29
奇幻森林,奇幻,97939,34,24,美国,2016/4/15
澳门风云2,喜剧,97486,39,36,中国香港/中国,2015/2/19
比悲伤更悲伤的故事,爱情,95844,31,15,中国台湾,2019/3/14
西游记之大圣归来,动画,95657,35,34,中国,2015/7/10
泰坦尼克号3D,爱情,94621,45,54,美国,2012/4/10
哥斯拉2：怪兽之王,科幻,93750,37,15,美国,2019/5/31
老炮儿,剧情,90280,31,38,中国,2015/12/24
超时空同居,奇幻,89988,33,12,中国,2018/5/18
阿丽塔：战斗天使,动作,89711,38,14,美国/加拿大/阿根廷,2019/2/22
绝地逃亡,动作,88950,35,25,美国/中国香港/中国,2016/7/21
智取威虎山,动作,88419,41,28,中国/中国香港,2014/12/23
十二生肖,动作,88118,40,37,中国/中国香港,2012/12/20
银河补习班,剧情,87838,34,16,中国,2019/7/18
碟中谍5：神秘国度,动作,86977,33,26,美国/中国,2015/9/8
冰雪奇缘2,动画,86100,35,11,美国,2019/11/22
狮子王,剧情,83177,37,16,美国,2019/7/12
蚁人2：黄蜂女现身,动作,83156,36,15,美国/英国,2018/8/24
星球大战：原力觉醒,科幻,82558,37,24,美国,2016/1/9
唐人街探案,喜剧,82442,32,33,中国,2015/12/31
从你的全世界路过,爱情,81423,31,22,中国,2016/9/29
X战警：天启,动作,80292,34,23,美国,2016/6/3
反贪风暴4,动作,79886,35,11,中国/中国香港,2019/4/4
无名之辈,剧情,79454,35,12,中国,2018/11/16
北京遇上西雅图之不二情书,爱情,78680,34,24,中国/中国香港,2016/4/29
蜘蛛侠：英雄归来,动作,77414,35,16,美国,2017/9/8
叶问3,动作,77031,39,23,中国/中国香港,2016/3/4
